Id,Name,2026-09-01 23:12:37,2026-09-02 08:21:34,2026-09-02 22:38:04,2026-09-03 08:20:10,2026-09-03 22:37:11,2026-09-04 08:17:27,2026-09-04 22:31:05,2026-09-05 08:04:23,2026-09-05 21:36:57,2026-09-06 07:50:42,2026-09-06 21:53:42,2026-09-07 07:56:38,2026-09-08 00:05:14,2026-09-08 08:28:29,2026-09-08 22:34:25,2026-09-09 08:27:06,2026-09-09 22:45:16,2026-09-10 08:13:29,2026-09-10 22:37:06,2026-09-11 08:11:29,2026-09-11 22:32:46,2026-09-12 08:15:18,2026-09-12 21:53:47,2026-09-13 08:01:36,2026-09-13 22:51:39,2026-09-14 08:09:04,2026-09-15 00:55:59,2026-09-15 08:53:59,2026-09-15 23:22:45,2026-09-16 08:37:08,2026-09-16 23:15:59,2026-09-17 08:42:24,2026-09-17 23:19:01,2026-09-18 08:32:15,2026-09-18 22:35:36,2026-09-19 08:15:11,2026-09-19 22:08:03,2026-09-20 07:52:21,2026-09-20 22:38:29,2026-09-21 08:13:13,2026-09-22 00:53:39,2026-09-22 09:02:42,2026-09-22 23:06:36,2026-09-23 08:37:42,2026-09-23 23:15:55,2026-09-24 08:35:01,2026-09-24 23:14:51,2026-09-25 08:55:14,2026-09-25 23:37:24,2026-09-26 09:00:01
17568500,AONE AD240 FHD 프리싱크 HDR 무결점,"113,050","113,050","113,050","113,050","113,050",0,"113,050","113,050",0,"113,050","113,050","113,050",0,"113,050",0,"113,050","113,050","113,050","113,050","113,050",0,0,0,"113,050",0,0,"113,050",0,"113,050","113,050","113,050","113,050",0,"113,050",0,"113,050",0,0,"113,050",0,"113,050","113,050","113,050","113,050","113,050",0,0,0,0,0
17568584,AONE AD270 FHD 프리싱크 HDR 무결점,"160,550","160,550","160,550","160,550","160,550",0,"160,550","160,550",0,"160,550","160,550","160,550",0,"160,550",0,"160,550","160,550","160,550","160,550","160,550",0,0,0,"160,550",0,0,"160,550",0,"160,550","160,550","160,550","160,550",0,"160,550",0,"160,550",0,0,"160,550",0,"160,550","160,550","160,550","160,550","160,550",0,0,0,0,0
106780706,APPLE 2026 Studio Display MFEW4KH/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,944,050","2,944,050","2,944,050","2,944,050","2,944,050",0,0,0,"2,944,050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106780787,APPLE 2026 Studio Display MFEX4KH/A,"2,199,120","2,199,120","2,199,120","2,199,120","2,199,120",0,"2,199,120","2,199,120",0,"2,199,120","2,199,120","2,199,120",0,"2,199,120",0,"2,199,120","2,199,120","2,199,120","2,199,120","2,199,120",0,0,0,"2,199,120",0,0,"2,199,120",0,"2,374,040","2,374,040","2,199,120","2,199,120",0,"2,199,120",0,"2,199,120",0,0,"2,199,120",0,"2,199,120","2,199,120","2,199,120","2,199,120","2,199,120",0,0,0,0,0
106780865,APPLE 2026 Studio Display MFF04KH/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,598,990","3,598,990","3,598,990","3,598,990","3,598,990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106780892,APPLE 2026 Studio Display MFF14KH/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,840,500","2,840,500",0,0,0,"2,840,500",0,0,"2,840,500",0,"2,840,500","2,840,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108364379,APPLE 2026 Studio Display XDR MFEP4KH/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,699,000","5,699,000","5,699,000",0,0,0,0,0
122683510,ARZOPA A1M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"155,000",0,"155,000","155,000",0,"155,000","155,000",0,0,0,0,0
123589739,ASUS ProArt Display OLED PA279CDV,"1,199,000","1,199,000","1,199,000","1,199,000","1,199,000",0,"1,199,000","1,199,000",0,"1,199,000","1,199,000","1,199,000",0,"1,199,000",0,"1,199,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,199,000","1,199,000",0,"1,199,000",0,"1,199,000",0,0,"1,199,000",0,"1,199,000","1,199,000","1,199,000","1,199,000","1,199,000",0,0,0,0,0
124259726,ASUS ProArt Display PA16USV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,510,500",0,0,"1,510,500",0,"1,510,500","1,510,500","1,510,500","1,590,000","1,590,000",0,0,0,0,0
